model_number,marginal_log_mean,conditional_log_mean,marginal_mean_ll,conditional_mean_ll,marginal_var_ll,conditional_var_ll
1.0000000000e+00,-1.7787192172e+01,-1.6188641918e+01,-1.8027367798e+01,-1.6961291984e+01,6.3389099945e-01,2.0320449966e+00
1.0000000000e+00,-1.6231083988e+01,-1.5334044132e+01,-1.6709530186e+01,-1.6003991497e+01,1.5109399312e+00,1.9971947807e+00
1.0000000000e+00,-1.6103696780e+01,-1.4902178008e+01,-1.6428788589e+01,-1.5505507752e+01,9.7549779174e-01,1.7659900953e+00
1.0000000000e+00,-1.5846960507e+01,-1.5179399749e+01,-1.6319773607e+01,-1.5783290688e+01,1.5217489619e+00,1.8694620432e+00
1.0000000000e+00,-1.9552215190e+01,-1.8479871647e+01,-1.9742279734e+01,-1.8968672813e+01,5.6244466883e-01,1.3760278585e+00
1.0000000000e+00,-1.5201516512e+01,-1.4639948767e+01,-1.5545172772e+01,-1.5028967615e+01,1.0881625639e+00,1.2186206440e+00
1.0000000000e+00,-1.6979110545e+01,-1.5991210740e+01,-1.7068544864e+01,-1.6292309304e+01,1.9207414314e-01,8.7941155432e-01
1.0000000000e+00,-1.6044605039e+01,-1.5328873902e+01,-1.6371702243e+01,-1.5844094135e+01,1.0450575508e+00,1.5330100348e+00
1.0000000000e+00,-1.8577982398e+01,-1.6166455579e+01,-1.8940755761e+01,-1.7284020726e+01,9.8026666188e-01,3.1031204094e+00
1.0000000000e+00,-1.4668538376e+01,-1.4039600408e+01,-1.4726987784e+01,-1.4260291285e+01,1.2677160907e-01,6.1245600687e-01
1.0000000000e+00,-1.6358111667e+01,-1.5931063406e+01,-1.6374062114e+01,-1.6061948619e+01,3.3207381955e-02,3.6243095110e-01
1.0000000000e+00,-1.5065917944e+01,-1.4736167349e+01,-1.5217008400e+01,-1.4969472269e+01,4.5795350190e-01,6.8791529327e-01
1.0000000000e+00,-1.6016245209e+01,-1.5257656294e+01,-1.6466726527e+01,-1.5819167897e+01,1.3831096860e+00,1.7192947450e+00
1.0000000000e+00,-1.7134014574e+01,-1.6006351039e+01,-1.7504949867e+01,-1.6630264304e+01,1.1384547237e+00,1.9180440491e+00
1.0000000000e+00,-1.4794355651e+01,-1.4512225172e+01,-1.5153036218e+01,-1.4933388406e+01,1.1198536385e+00,1.2728863061e+00
1.0000000000e+00,-1.6358807147e+01,-1.5781554240e+01,-1.6682998835e+01,-1.6186655004e+01,9.9766786525e-01,1.2747953053e+00
1.0000000000e+00,-1.4364702850e+01,-1.4036043457e+01,-1.4383834185e+01,-1.4158242547e+01,3.9121986371e-02,3.1394667321e-01
1.0000000000e+00,-1.7122370809e+01,-1.5380712487e+01,-1.7792709898e+01,-1.6267304888e+01,2.1234187148e+00,2.7504304111e+00
1.0000000000e+00,-1.5907529913e+01,-1.4880352519e+01,-1.5947144407e+01,-1.5170828019e+01,8.4742361018e-02,8.2310550504e-01
1.0000000000e+00,-1.6999457892e+01,-1.6740491639e+01,-1.7010230650e+01,-1.6827671372e+01,2.1965318989e-02,2.2891830643e-01
1.0000000000e+00,-1.6212810383e+01,-1.5666529897e+01,-1.6377689891e+01,-1.5951565942e+01,4.9308103043e-01,8.5660613914e-01
1.0000000000e+00,-1.4780144791e+01,-1.4450998385e+01,-1.4793343245e+01,-1.4560208787e+01,2.6895242301e-02,2.9164675397e-01
1.0000000000e+00,-1.5991167391e+01,-1.5564262432e+01,-1.6172710876e+01,-1.5847043639e+01,5.9295541765e-01,8.6841720161e-01
1.0000000000e+00,-1.4618908894e+01,-1.3911965348e+01,-1.4677169965e+01,-1.4149225433e+01,1.2325418026e-01,6.5676456006e-01
1.0000000000e+00,-1.6067058490e+01,-1.5343669428e+01,-1.6231572782e+01,-1.5734504645e+01,4.9599832451e-01,1.0877202447e+00
1.0000000000e+00,-1.4757763284e+01,-1.4255609055e+01,-1.4916243755e+01,-1.4527803116e+01,4.8715741523e-01,8.0200945498e-01
1.0000000000e+00,-1.6472253293e+01,-1.6039684582e+01,-1.6652541987e+01,-1.6320345353e+01,5.5668289029e-01,8.5287947075e-01
1.0000000000e+00,-1.7388616994e+01,-1.6212211823e+01,-1.7661159388e+01,-1.6717073036e+01,7.4501014309e-01,1.5389974391e+00
1.0000000000e+00,-1.5772544651e+01,-1.4747211332e+01,-1.5985660600e+01,-1.5219856507e+01,5.9355555480e-01,1.3262951165e+00
1.0000000000e+00,-2.0322201901e+01,-1.9761821844e+01,-2.0705172461e+01,-2.0223274719e+01,1.2310400454e+00,1.3954242598e+00
1.0000000000e+00,-1.7707933745e+01,-1.6958438410e+01,-1.8036958006e+01,-1.7499944241e+01,1.0170589083e+00,1.5705216673e+00
1.0000000000e+00,-1.6499986925e+01,-1.5498365260e+01,-1.6680137023e+01,-1.5895133474e+01,5.4344761300e-01,1.1885799462e+00
1.0000000000e+00,-1.5408124136e+01,-1.4664468936e+01,-1.5471111405e+01,-1.4909689912e+01,1.3648333566e-01,6.9581537817e-01
1.0000000000e+00,-1.4953092236e+01,-1.4427622158e+01,-1.5295734632e+01,-1.4859111246e+01,1.1070120863e+00,1.3263034664e+00
1.0000000000e+00,-1.7555041100e+01,-1.6706292844e+01,-1.7790113040e+01,-1.7207035780e+01,6.8628692191e-01,1.3523918191e+00
